Target,Assay,Conc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
KPC-1,CPE_5_plex,1000000,0.0434792,0.0435595,0.0435885,0.043892,0.044043,0.0442747,0.044301,0.044172,0.0445446,0.0444981,0.0447543,0.0446702,0.0451616,0.0454031,0.0457942,0.0469967,0.0487822,0.0525942,0.05941,0.0723475,0.0951856,0.131509,0.180116,0.231603,0.27791,0.31877,0.352591,0.381383,0.40561,0.425947,0.442402,0.457326,0.468937,0.478712,0.487111,0.494531,0.5009,0.506281,0.510515,0.515775,0.520535,0.524927,0.530353,0.535466,0.541851
KPC-1,CPE_5_plex,1000000,0.0405742,0.0407158,0.0409813,0.0410977,0.0412009,0.0412571,0.0414467,0.0415407,0.041586,0.0416899,0.0416868,0.0418302,0.0421685,0.0426509,0.0433843,0.0449045,0.0479403,0.0538935,0.0648174,0.0846027,0.117044,0.161775,0.210936,0.256303,0.296254,0.330475,0.359063,0.383092,0.403406,0.420697,0.435634,0.448163,0.458347,0.467448,0.474909,0.482196,0.488691,0.493688,0.498977,0.50487,0.509519,0.515203,0.521245,0.527122,0.533566
KPC-1,CPE_5_plex,10000000,0.0442481,0.0440171,0.0440338,0.0441321,0.0441261,0.0442992,0.0442853,0.0445234,0.0446684,0.044773,0.045181,0.0458205,0.0474909,0.0503558,0.0556625,0.0658904,0.0845991,0.116162,0.159964,0.210541,0.258117,0.299572,0.335036,0.364549,0.389572,0.410591,0.428207,0.44293,0.455039,0.465719,0.474164,0.481912,0.488371,0.493638,0.499139,0.504311,0.508928,0.514352,0.519411,0.525774,0.532695,0.539688,0.546438,0.55282,0.559392
KPC-1,CPE_5_plex,10000000,0.0400559,0.0403152,0.0404334,0.0406876,0.040926,0.0411221,0.0412453,0.0413961,0.0415101,0.0418454,0.0423537,0.0433252,0.0453526,0.0486766,0.0556667,0.0682712,0.0909307,0.126263,0.172453,0.22009,0.262982,0.30057,0.332456,0.358826,0.380892,0.399989,0.415483,0.42901,0.440326,0.449974,0.458813,0.4659,0.472038,0.477278,0.482634,0.488254,0.49342,0.498835,0.505015,0.511054,0.518292,0.52502,0.531518,0.538237,0.544294
NDM-1,CPE_5_plex,10,0.0432038,0.0434574,0.0435288,0.0437337,0.0439674,0.044102,0.0441652,0.0442937,0.0442619,0.0444809,0.0444632,0.0445823,0.0445847,0.0446981,0.0448398,0.0449962,0.0450284,0.0449128,0.045355,0.0452662,0.0452607,0.0455773,0.0455552,0.0457057,0.0460517,0.046132,0.0462845,0.0467561,0.0470255,0.0472621,0.0476047,0.0480272,0.0483526,0.0485797,0.0490816,0.0492468,0.049673,0.0500448,0.0501754,0.0504149,0.0506546,0.0507545,0.0510412,0.0509079,0.0510768
NDM-1,CPE_5_plex,10,0.0453192,0.0454313,0.0455095,0.0457933,0.0456666,0.0459372,0.0457314,0.0459292,0.045814,0.0459868,0.0460905,0.0461832,0.0462973,0.0461728,0.0462025,0.0461944,0.0465028,0.0466318,0.0468209,0.0467056,0.0469854,0.0471142,0.0473725,0.0473914,0.0476828,0.0477086,0.0481328,0.0484108,0.049346,0.0504668,0.0525834,0.0568206,0.0645796,0.0790794,0.10438,0.145781,0.202888,0.268328,0.329519,0.380418,0.420189,0.449455,0.470525,0.483944,0.492291
NDM-1,CPE_5_plex,100,0.0444007,0.0451752,0.0459633,0.0463258,0.0463381,0.0467473,0.0468547,0.0468968,0.0471144,0.0471387,0.0473611,0.047353,0.047487,0.0474794,0.0476426,0.0479646,0.0477673,0.0479477,0.0481102,0.0480886,0.0483026,0.0482878,0.0485794,0.0486945,0.049151,0.0499459,0.050651,0.0526213,0.0557731,0.0620101,0.073487,0.0941434,0.12889,0.179641,0.241426,0.302699,0.356679,0.400548,0.433894,0.457769,0.473376,0.482989,0.488485,0.491121,0.492871
NDM-1,CPE_5_plex,100,0.0436289,0.0448554,0.0453733,0.0457614,0.0458188,0.0460481,0.046231,0.0463978,0.0463711,0.0465137,0.0463513,0.0465334,0.0467208,0.0469121,0.046801,0.0470028,0.047056,0.0471162,0.0474081,0.0474324,0.0474367,0.0476706,0.0480984,0.0484416,0.0496738,0.0513052,0.054809,0.0616078,0.0737648,0.0957675,0.131438,0.182458,0.242257,0.298552,0.346417,0.384403,0.412188,0.432121,0.445078,0.453189,0.457809,0.460572,0.463132,0.464074,0.465681
NDM-1,CPE_5_plex,1000,0.0454764,0.0463544,0.0469765,0.0471523,0.047279,0.0475558,0.0476071,0.0476669,0.0476027,0.0479265,0.0479969,0.0480936,0.0483518,0.0481462,0.0484627,0.0484168,0.0485064,0.0485957,0.0486207,0.0489875,0.0490313,0.0494873,0.0498452,0.0507086,0.0522783,0.0549184,0.0600933,0.0692543,0.0865615,0.11524,0.159348,0.215051,0.27316,0.326193,0.369901,0.405104,0.430997,0.448402,0.45959,0.465676,0.468701,0.471412,0.472385,0.473498,0.474544
NDM-1,CPE_5_plex,1000,0.0445977,0.0457545,0.0461845,0.0464188,0.0467014,0.0469242,0.0469125,0.0470379,0.0473098,0.0473319,0.0474427,0.0476879,0.0478086,0.0476885,0.0477538,0.0479168,0.0479473,0.0482098,0.0482346,0.0484809,0.0485589,0.0492998,0.050057,0.0516576,0.0545585,0.0599162,0.0699126,0.0879876,0.119139,0.164787,0.222127,0.27962,0.330316,0.370442,0.401489,0.424071,0.439505,0.449311,0.45505,0.457815,0.460274,0.461855,0.462943,0.463871,0.464974
